#           r (fm)     		Florit potential (MeV)
   1.5000000000000002E-007   804901850.85536706     
   1.5001500000000000E-003   277986.69551991730     
   3.0001500000000005E-003   237747.70367746006     
   4.5001500000000005E-003   224320.26856711096     
   6.0001500000000001E-003   217590.97454881945     
   7.5001499999999997E-003   213536.81892120600     
   9.0001500000000002E-003   210816.75856561310     
   1.0500150000000000E-002   208856.05242621736     
   1.2000149999999999E-002   207367.32917041783     
   1.3500150000000001E-002   206190.93952741186     
   1.5000150000000000E-002   205231.09626510556     
   1.6500150000000002E-002   204426.84658956583     
   1.8000149999999999E-002   203737.55822311048     
   1.9500150000000001E-002   203135.10416335499     
   2.1000149999999999E-002   202599.39680659559     
   2.2500150000000000E-002   202115.70840919937     
   2.4000150000000001E-002   201672.99636895067     
   2.5500149999999999E-002   201262.81957934212     
   2.7000150000000001E-002   200878.61599633671     
   2.8500150000000002E-002   200515.20833997568     
   3.0000150000000000E-002   200168.45808399175     
   3.1500149999999998E-002   199835.01830428588     
   3.3000149999999999E-002   199512.15393127842     
   3.4500150000000000E-002   199197.60889196294     
   3.6000150000000002E-002   198889.50646552086     
   3.7500150000000003E-002   198586.27355270335     
   3.9000149999999997E-002   198286.58242064985     
   4.0500149999999999E-002   197989.30539246064     
   4.2000150000000000E-002   197693.47924531656     
   4.3500150000000001E-002   197398.27697368278     
   4.5000150000000003E-002   197102.98519905601     
   4.6500150000000004E-002   196806.98595120612     
   4.8000150000000005E-002   196509.74186462665     
   4.9500150000000007E-002   196210.78406573299     
   5.1000150000000008E-002   195909.70219681042     
   5.2500150000000009E-002   195606.13614933947     
   5.4000150000000004E-002   195299.76917430048     
   5.5500150000000005E-002   194990.32210892724     
   5.7000150000000006E-002   194677.54851422881     
   5.8500150000000008E-002   194361.23055978987     
   6.0000150000000009E-002   194041.17552505742     
   6.1500150000000003E-002   193717.21281184338     
   6.3000150000000005E-002   193389.19138282267     
   6.4500150000000006E-002   193056.97755666345     
   6.6000150000000007E-002   192720.45310303615     
   6.7500150000000009E-002   192379.51359083923     
   6.9000150000000010E-002   192034.06695109315     
   7.0500150000000011E-002   191684.03222251782     
   7.2000150000000013E-002   191329.33845313781     
   7.3500150000000000E-002   190969.92373561344     
   7.5000150000000002E-002   190605.73435756299     
   7.6500150000000003E-002   190236.72405108131     
   7.8000150000000004E-002   189862.85332809002     
   7.9500150000000006E-002   189484.08889017161     
   8.1000150000000007E-002   189100.40310322159     
   8.2500150000000008E-002   188711.77352865922     
   8.4000150000000010E-002   188318.18250411641     
   8.5500150000000011E-002   187919.61676752011     
   8.7000150000000012E-002   187516.06711932094     
   8.8500150000000014E-002   187107.52811833416     
   9.0000150000000001E-002   186693.99780726340     
   9.1500150000000002E-002   186275.47746449220     
   9.3000150000000004E-002   185851.97137917110     
   9.4500150000000005E-002   185423.48664700342     
   9.6000150000000006E-002   184990.03298446009     
   9.7500150000000008E-002   184551.62255943121     
   9.9000150000000009E-002   184108.26983656525     
  0.10050015000000001        183659.99143575557     
  0.10200015000000001        183206.80600241438     
  0.10350015000000001        182748.73408833391     
  0.10500015000000000        182285.79804206992     
  0.10650015000000000        181818.02190790488     
  0.10800015000000000        181345.43133255086     
  0.10950015000000000        180868.05347884729     
  0.11100015000000001        180385.91694578601     
  0.11250015000000001        179899.05169427083     
  0.11400015000000001        179407.48897807873     
  0.11550015000000001        178911.26127954738     
  0.11700015000000001        178410.40224956075     
  0.11850015000000001        177904.94665145004     
  0.12000015000000001        177394.93030846422     
  0.12150015000000000        176880.39005449921     
  0.12300015000000000        176361.36368780545     
  0.12450015000000000        175837.88992742091     
  0.12600015000000001        175310.00837209981     
  0.12750015000000001        174777.75946153101     
  0.12900015000000001        174241.18443965752     
  0.13050015000000001        173700.32531992684     
  0.13200015000000001        173155.22485231821     
  0.13350015000000001        172605.92649200521     
  0.13500015000000001        172052.47436952658     
  0.13650015000000001        171494.91326234833     
  0.13800015000000002        170933.28856771108     
  0.13950015000000002        170367.64627666574     
  0.14100015000000002        169798.03294920898     
  0.14250015000000002        169224.49569043738     
  0.14400015000000002        168647.08212764707     
  0.14550014999999999        168065.84038830933     
  0.14700015000000000        167480.81907886287     
  0.14850015000000000        166892.06726426273     
  0.15000015000000000        166299.63444823626     
  0.15150015000000000        165703.57055419634     
  0.15300015000000000        165103.92590676926     
  0.15450015000000000        164500.75121389556     
  0.15600015000000000        163894.09754946761     
  0.15750015000000001        163284.01633646883     
  0.15900015000000001        162670.55933058393     
  0.16050015000000001        162053.77860425017     
